Tamaño: 369,000 elementos | Tiempo: 121.800 ms
Tamaño: 370,000 elementos | Tiempo: 124.100 ms
Tamaño: 371,000 elementos | Tiempo: 123.800 ms
Tamaño: 372,000 elementos | Tiempo: 124.300 ms
Tamaño: 373,000 elementos | Tiempo: 133.600 ms
Tamaño: 374,000 elementos | Tiempo: 126.200 ms
Tamaño: 375,000 elementos | Tiempo: 126.000 ms
Tamaño: 376,000 elementos | Tiempo: 125.400 ms
Tamaño: 377,000 elementos | Tiempo: 125.100 ms
Tamaño: 378,000 elementos | Tiempo: 126.400 ms
Tamaño: 379,000 elementos | Tiempo: 128.300 ms
Tamaño: 380,000 elementos | Tiempo: 125.500 ms
Tamaño: 381,000 elementos | Tiempo: 127.700 ms
Tamaño: 382,000 elementos | Tiempo: 127.900 ms
Tamaño: 383,000 elementos | Tiempo: 128.300 ms
Tamaño: 384,000 elementos | Tiempo: 127.500 ms
Tamaño: 385,000 elementos | Tiempo: 130.400 ms
Tamaño: 386,000 elementos | Tiempo: 130.200 ms
Tamaño: 387,000 elementos | Tiempo: 132.900 ms
Tamaño: 388,000 elementos | Tiempo: 129.700 ms
Tamaño: 389,000 elementos | Tiempo: 130.400 ms
Tamaño: 390,000 elementos | Tiempo: 133.700 ms
Tamaño: 391,000 elementos | Tiempo: 130.400 ms
Tamaño: 392,000 elementos | Tiempo: 130.200 ms
Tamaño: 393,000 elementos | Tiempo: 132.100 ms
Tamaño: 394,000 elementos | Tiempo: 132.700 ms
Tamaño: 395,000 elementos | Tiempo: 134.800 ms
Tamaño: 396,000 elementos | Tiempo: 133.500 ms
Tamaño: 397,000 elementos | Tiempo: 134.000 ms
Tamaño: 398,000 elementos | Tiempo: 136.300 ms
Tamaño: 399,000 elementos | Tiempo: 138.600 ms
Tamaño: 400,000 elementos | Tiempo: 143.300 ms
Tamaño: 401,000 elementos | Tiempo: 134.700 ms
Tamaño: 402,000 elementos | Tiempo: 133.800 ms
Tamaño: 403,000 elementos | Tiempo: 136.900 ms
Tamaño: 404,000 elementos | Tiempo: 138.900 ms
Tamaño: 405,000 elementos | Tiempo: 134.600 ms
Tamaño: 406,000 elementos | Tiempo: 135.000 ms
Tamaño: 407,000 elementos | Tiempo: 139.200 ms
Tamaño: 408,000 elementos | Tiempo: 137.400 ms
Tamaño: 409,000 elementos | Tiempo: 139.200 ms
Tamaño: 410,000 elementos | Tiempo: 137.700 ms
Tamaño: 411,000 elementos | Tiempo: 140.800 ms
Tamaño: 412,000 elementos | Tiempo: 135.600 ms
Tamaño: 413,000 elementos | Tiempo: 137.400 ms
Tamaño: 414,000 elementos | Tiempo: 141.000 ms
Tamaño: 415,000 elementos | Tiempo: 142.900 ms
Tamaño: 416,000 elementos | Tiempo: 139.600 ms
Tamaño: 417,000 elementos | Tiempo: 138.900 ms
Tamaño: 418,000 elementos | Tiempo: 139.700 ms
Tamaño: 419,000 elementos | Tiempo: 141.100 ms
Tamaño: 420,000 elementos | Tiempo: 139.900 ms
Tamaño: 421,000 elementos | Tiempo: 151.700 ms
Tamaño: 422,000 elementos | Tiempo: 140.900 ms
Tamaño: 423,000 elementos | Tiempo: 142.800 ms
Tamaño: 424,000 elementos | Tiempo: 143.000 ms
Tamaño: 425,000 elementos | Tiempo: 160.900 ms
Tamaño: 426,000 elementos | Tiempo: 143.600 ms
Tamaño: 427,000 elementos | Tiempo: 146.300 ms
Tamaño: 428,000 elementos | Tiempo: 142.000 ms
Tamaño: 429,000 elementos | Tiempo: 145.400 ms
Tamaño: 430,000 elementos | Tiempo: 144.000 ms
Tamaño: 431,000 elementos | Tiempo: 148.800 ms
Tamaño: 432,000 elementos | Tiempo: 144.700 ms
Tamaño: 433,000 elementos | Tiempo: 143.700 ms
Tamaño: 434,000 elementos | Tiempo: 148.000 ms
Tamaño: 435,000 elementos | Tiempo: 146.600 ms
